id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
P000263,1512,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000263.json,John,E.,Peterson,R,,,,,,,12,PA,5,18.67,91.08
P000265,912,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000265.json,Tom,,Petri,R,,thomaspetri,,http://petri.house.gov,http://petri.house.gov/rss.xml,petri.house.gov,30,WI,6,0.37,87.42
P000323,1513,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000323.json,Charles,W.,Pickering,R,,,,,,,12,MS,3,13.55,91.12
P000373,1514,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000373.json,Joe,,Pitts,R,RepJoePitts,94156528752,94156528752,http://pitts.house.gov/,http://pitts.house.gov/rss.xml,pitts.house.gov,12,PA,16,5.28,92.29
P000422,922,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000422.json,Earl,,Pomeroy,D,,,,,,,16,ND,1,2.03,95.75
P000523,930,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000523.json,David,E.,Price,D,RepDavidEPrice,,,http://price.house.gov,http://price.house.gov/index.php?format=feed&type=rss,price.house.gov,20,NC,4,1.55,97.78
P000555,933,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000555.json,Deborah,D.,Pryce,R,,,,,,,16,OH,15,21.44,87.51
P000583,900,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000583.json,Ron,,Paul,R,RepRonPaul,,,,,,20,TX,14,24.53,74.56
P000585,1667,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000585.json,Todd,R.,Platts,R,,,,,,,8,PA,19,2.51,84.03
P000586,1645,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000586.json,Adam,H.,Putnam,R,,,,,,,8,FL,12,3.63,93.64
P000587,1649,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000587.json,Mike,,Pence,R,RepMikePence,,,,,,8,IN,6,5.92,89.80
P000588,1738,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000588.json,Steve,,Pearce,R,RepStevePearce,RepStevePearce,180280568662135,http://pearce.house.gov,http://pearce.house.gov/rss.xml,pearce.house.gov,6,NM,2,3.09,92.68
P000589,1739,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000589.json,Jon,Christopher,Porter,R,,,,,,,6,NV,3,2.03,83.45
P000591,1778,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000591.json,Tom,,Price,R,RepTomPrice,reptomprice,172032960420,http://tomprice.house.gov,http://tomprice.house.gov/rss.xml,tomprice.house.gov,4,GA,6,0.96,90.68
P000592,1802,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000592.json,Ted,,Poe,R,JudgeTedPoe,106631626049851,106631626049851,http://poe.house.gov/,http://poe.house.gov/index.php?option=com_ninjarsssyndicator&feed_id=1&format=raw,www.house.gov,4,TX,2,5.65,88.02
P000593,1835,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000593.json,Ed,,Perlmutter,D,RepPerlmutter,RepPerlmutter,86174496459,http://perlmutter.house.gov,http://perlmutter.house.gov/index.php?format=feed&type=rss,perlmutter.house.gov,2,CO,7,2.88,96.05
R000004,939,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000004.json,George,P.,Radanovich,R,RepRadanovich,,,,,,14,CA,19,12.11,91.81
R000011,940,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000011.json,Nick,J.,"Rahall II",D,,NickRahall,357958026910,http://www.rahall.house.gov,http://rahall.house.gov/rss.xml,www.rahall.house.gov,32,WV,3,0.69,95.01
R000033,942,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000033.json,James,M.,Ramstad,R,,,,,,,18,MN,3,1.23,80.29
R000053,944,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000053.json,Charles,B.,Rangel,D,cbrangel,CBRangel,7390589055,http://rangel.house.gov,http://rangel.house.gov/rss.xml,rangel.house.gov,38,NY,15,9.92,97.45
R000141,951,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000141.json,Ralph,,Regula,R,,,,,,,36,OH,16,0.96,87.13
R000170,1516,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000170.json,Silvestre,,Reyes,D,silvestrereyes,,,,,,12,TX,16,5.60,96.55
R000395,977,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000395.json,Harold,,Rogers,R,RepHalRogers,CongressmanHalRogers,6722039085,http://halrogers.house.gov,http://halrogers.house.gov/news/rss.aspx,halrogers.house.gov,28,KY,5,2.08,93.25
R000409,979,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000409.json,Dana,,Rohrabacher,R,,,,http://rohrabacher.house.gov/,http://rohrabacher.house.gov/rss.xml,rohrabacher.house.gov,20,CA,46,6.29,88.62
R000435,985,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000435.json,Ileana,,Ros-Lehtinen,R,RosLehtinen,iroslehtinen,286546974761109,http://ros-lehtinen.house.gov,http://ros-lehtinen.house.gov/rss.xml,ros-lehtinen.house.gov,20,FL,18,3.36,82.95
R000462,1520,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000462.json,Steven,R.,Rothman,D,,,,,,,12,NJ,9,4.85,97.09
R000486,997,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000486.json,Lucille,,Roybal-Allard,D,RepRoybalAllard,RepRoybalAllard,139773069370563,http://roybal-allard.house.gov/,http://roybal-allard.house.gov/News/Rss.aspx,roybal-allard.house.gov,16,CA,34,1.17,96.98
R000487,998,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000487.json,Ed,,Royce,R,RepEdRoyce,EdRoyce,6460640558,http://www.royce.house.gov,http://royce.house.gov/News/Rss.aspx,www.royce.house.gov,16,CA,40,2.56,89.60
R000515,1003,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000515.json,Bobby,L.,Rush,D,RepBobbyRush,congressmanbobbyrush,230753786936538,http://rush.house.gov,http://rush.house.gov/rss.xml,rush.house.gov,16,IL,1,31.84,96.87
R000568,1518,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000568.json,Ciro,D.,Rodriguez,D,,,,,,,2,TX,23,1.17,95.84
R000569,1587,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000569.json,Thomas,M.,Reynolds,R,,,,,,,10,NY,26,5.76,91.91
R000570,1560,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000570.json,Paul,D.,Ryan,R,reppaulryan,reppaulryan,7123827676,http://paulryan.house.gov,http://paulryan.house.gov/news/rss.aspx,paulryan.house.gov,10,WI,1,1.92,90.70
R000571,1657,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000571.json,Denny,,Rehberg,R,DennyRehberg,,,,,,8,MT,1,0.21,91.50
